NEW_OBJ_ID,OLD_OBJECT_ID,Date,Site,Creek or Pond,SAMPLE_NO,LATITUDE_Y,LONGITUDE_X,Notes
145,148,6/16/17,Capoolong,Capoolong,CAPO001,40.59615,-74.92682,
146,149,6/16/17,Capoolong,Capoolong,CAPO002,40.5959,-74.92671,
147,152,6/19/17,Capoolong,Capoolong,CAPO005,40.59509,-74.92761,Had a 30 minute break
223,232,7/6/17,Capoloong,Capoolong,CAPO007,40.60136,-74.91969,Did not bleed
224,233,7/6/17,Capoloong,Capoolong,CAPO008,40.60117,-74.91991,Bled. Bill still searching
225,234,7/6/17,Capoloong,Capoolong,CAPO009,40.60067,-74.9205,Bled a little. Bill still searching
226,235,7/6/17,Capoloong,Capoolong,CAPO010,40.60027,-74.92146,"Bled. Looks just like a two-lined salamander. Kinked tail, but good. Bill still searching."
227,236,7/6/17,Capoloong,Capoolong,CAPO011,40.60017,-74.92175,Did not bled. Bill still searching. 
228,237,7/6/17,Capoloong,Capoolong,CAPO012,40.60003,-74.92204,"Bled, regrown in two places. "
229,238,7/6/17,Capoloong,Capoolong,CAPO013,40.60003,-74.92195,Did not bleed.
230,239,7/6/17,Capoloong,Capoolong,CAPO014,40.59986,-74.92238,"Bled, gorgeous tail. "
247,257,8/26/17,PA Cook's Creek,Cook,COOK001,40.5083,-75.32005,Likely male. Had cirri. Bled. 
248,258,8/26/17,PA Cook's Creek,Cook,COOK002,40.5083,-75.32005,Likely female. Bled. 
249,259,8/26/17,PA Cook's Creek,Cook,COOK003,40.50809,-75.31921,Likely male. Bled. 
165,171,6/23/17,Hakihokake,Hakihokake,HAKI001,40.58339,-75.08542,
166,172,6/23/17,Hakihokake,Hakihokake,HAKI002,40.58265,-75.08564,
167,173,6/23/17,Hakihokake,Hakihokake,HAKI003,40.58226,-75.087,"Tail came off during capture, used whole tail that came off for DNA"
168,174,6/23/17,Hakihokake,Hakihokake,HAKI004,40.58223,-75.0871,
169,175,6/23/17,Hakihokake,Hakihokake,HAKI005,40.58231,-75.08769,
170,176,6/23/17,Hakihokake,Hakihokake,HAKI006,40.58229,-75.08768,
171,177,6/24/17,Hakihokake,Hakihokake,HAKI007,40.58229,-75.08768,
172,178,6/24/17,Hakihokake,Hakihokake,HAKI008,40.58296,-75.08976,Bled
188,195,6/27/17,Hakihokake,Hakihokake,HAKI009,40.58351,-75.09449,Bled
215,223,7/5/17,Hakihokake,Hakihokake,HAKI010,40.58404,-75.09444,"Tail cut on one side near the body, unsure if it occurred during capture. Otherwise it is good. No blood"
216,224,7/5/17,Hakihokake,Hakihokake,HAKI011,40.584,-75.09442,"Tail completely fell off during capture. Tail condition good before capture. Body bled, not tail. "
217,225,7/5/17,Hakihokake,Hakihokake,HAKI012,40.58399,-75.09447,No blood
218,226,7/5/17,Hakihokake,Hakihokake,HAKI013,40.58403,-75.09445,Both regrown and cut tail. No blood
219,227,7/5/17,Hakihokake,Hakihokake,HAKI014,40.58281,-75.09415,Bled
220,228,7/5/17,  Hakihokake  ,Hakihokake  ,HAKI015  ,40.58,-75.09,"  Tail completely fell off during capture. Tail condition good before capture. Body bled, not tail.   "
221,229,7/5/17,Hakihokake,Hakihokake,HAKI016,40.58286,-75.0941,Did not bleed
222,230,7/5/17,Hakihokake,Hakihokake,HAKI017,40.58161,-75.0933,Bled a little. Lots of metamorphs in this area (slow water)
189,196,6/27/17,Harihokake,Harihokake,HARI001,40.54878,-75.06819,"Tail came off during capture (2.9), used whole tail for DNA"
190,197,6/27/17,Harihokake,Harihokake,HARI002,40.54878,-75.06819,Bled
191,198,6/27/17,Harihokake,Harihokake,HARI004,40.54857,-75.06846,
192,199,6/27/17,Harihokake,Harihokake,HARI005,40.54857,-75.06846,Bled
34,36,5/22/17,Kittitamy,Kittatiny,KIT001,40.96634,-74.83484,"Two found , one caught"
56,58,6/2/17,Little Nishisakawick,Little Nishisicawick,LNIS001,40.52785,-75.04251,
57,59,6/2/17,Little Nishisakawick,Little Nishisicawick,LNIS002,40.52792,-75.04233,
58,60,6/2/17,Little Nishisakawick,Little Nishisicawick,LNIS003,40.52534,-75.04496,Bled a little
199,207,6/29/17,Little Nishisicawick,Little Nishisicawick,LNIS004,40.52435,-75.04639,
200,208,6/29/17,Little Nishisicawick,Little Nishisicawick,LNIS005,40.52467,-75.04565,
201,209,6/29/17,Little Nishisicawick,Little Nishisicawick,LNIS006,40.52486,-75.04548,
202,210,6/29/17,Little Nishisicawick,Little Nishisicawick,LNIS007,40.52486,-75.04548,
203,211,6/29/17,Little Nishisicawick,Little Nishisicawick,LNIS008,40.52493,-75.04546,
204,212,6/29/17,Little Nishisicawick,Little Nishisicawick,LNIS009,40.52493,-75.04546,
205,213,6/29/17,Little Nishisicawick,Little Nishisicawick,LNIS010,40.52507,-75.04535,"Mangled tail, hurt in three different parts of the tail"
206,214,6/29/17,Little Nishisicawick,Little Nishisicawick,LNIS011,40.525,-75.04543,
207,215,6/29/17,Little Nishisicawick,Little Nishisicawick,LNIS012,40.52509,-75.04536,
208,216,6/29/17,Little Nishisicawick,Little Nishisicawick,LNIS013,40.52509,-75.04537,
209,217,6/29/17,Little Nishisicawick,Little Nishisicawick,LNIS014,40.52514,-75.04536,Bled
210,218,6/29/17,Little Nishisicawick,Little Nishisicawick,LNIS015,40.52514,-75.04536,Was found meter away from LNIS014
211,219,6/29/17,Little Nishisicawick,Little Nishisicawick,LNIS016,40.52514,-75.0453,Bled. Moved 2m in 30 seconds. 
212,220,6/29/17,Little Nishisicawick,Little Nishisicawick,LNIS017,40.52517,-75.04528,Bled
213,221,6/29/17,Little Nishisicawick,Little Nishisicawick,LNIS018,40.52626,-75.04434,Bled
214,222,6/29/17,Little Nishisicawick,Little Nishisicawick,LNIS019,40.52626,-75.04434,Bled
173,179,6/26/17,Lockatong,Lockatong,LOCK001,40.44804,-75.02502,
174,180,6/26/17,Lockatong,Lockatong,LOCK002,40.44806,-75.02504,"Looks lethargic, had red cloeca, not moving very much"
175,181,6/26/17,Lockatong,Lockatong,LOCK003,40.44815,-75.02499,Bled
