ind,prov,pop,site
CAPO001,P,CAPO,CAPO
CAPO002,P,CAPO,CAPO
CAPO005,P,CAPO,CAPO
CAPO007,P,CAPO,CAPO
CAPO008,P,CAPO,CAPO
CAPO009,P,CAPO,CAPO
CAPO010,P,CAPO,CAPO
CAPO011,P,CAPO,CAPO
CAPO012,P,CAPO,CAPO
CAPO013,P,CAPO,CAPO
CAPO014,P,CAPO,CAPO
COOK001,P,COOK,COOK
COOK002,P,COOK,COOK
COOK003,P,COOK,COOK
HAKI001,P,HAKI,HAKI
HAKI002,P,HAKI,HAKI
HAKI003,P,HAKI,HAKI
HAKI004,P,HAKI,HAKI
HAKI005,P,HAKI,HAKI
HAKI006,P,HAKI,HAKI
HAKI007,P,HAKI,HAKI
HAKI008,P,HAKI,HAKI
HAKI009,P,HAKI,HAKI
HAKI010,P,HAKI,HAKI
HAKI011,P,HAKI,HAKI
HAKI012,P,HAKI,HAKI
HAKI013,P,HAKI,HAKI
HAKI014,P,HAKI,HAKI
HAKI015 ,P,HAKI,HAKI
HAKI016,P,HAKI,HAKI
HAKI017,P,HAKI,HAKI
HARI001,P,HARI,HARI
HARI002,P,HARI,HARI
HARI004,P,HARI,HARI
HARI005,P,HARI,HARI
KIT001,RV,KITT,KITT
LNIS001,P,LNIS,LNIS
LNIS002,P,LNIS,LNIS
LNIS003,P,LNIS,LNIS
LNIS004,P,LNIS,LNIS
LNIS005,P,LNIS,LNIS
LNIS006,P,LNIS,LNIS
LNIS007,P,LNIS,LNIS
LNIS008,P,LNIS,LNIS
LNIS009,P,LNIS,LNIS
LNIS010,P,LNIS,LNIS
LNIS011,P,LNIS,LNIS
LNIS012,P,LNIS,LNIS
LNIS013,P,LNIS,LNIS
LNIS014,P,LNIS,LNIS
LNIS015,P,LNIS,LNIS
LNIS016,P,LNIS,LNIS
LNIS017,P,LNIS,LNIS
LNIS018,P,LNIS,LNIS
LNIS019,P,LNIS,LNIS
LOCK001,P,LOCK,LOCK
LOCK002,P,LOCK,LOCK
LOCK003,P,LOCK,LOCK
LOCK004,P,LOCK,LOCK
LOCK005,P,LOCK,LOCK
LOCK006,P,LOCK,LOCK
MILL001,P,LOCK,MILL
MILL002,P,LOCK,MILL
MILL003,P,LOCK,MILL
MILL004,P,LOCK,MILL
MILL005,P,LOCK,MILL
MILL006,P,LOCK,MILL
MILL007,P,LOCK,MILL
MILL008,P,LOCK,MILL
MILL009,P,LOCK,MILL
MUCK001,RV,MUCK,MUCK
MUCK002,RV,MUCK,MUCK
MUCK003,RV,MUCK,MUCK
MUCK004,RV,MUCK,MUCK
MUCK007,RV,MUCK,MUCK
MUCK008,RV,MUCK,MUCK
MUCK009,RV,MUCK,MUCK
MUCK010,RV,MUCK,MUCK
MUCK011,RV,MUCK,MUCK
MUCK012,RV,MUCK,MUCK
MUCK013,RV,MUCK,MUCK
MUCK014,RV,MUCK,MUCK
MUCK015,RV,MUCK,MUCK
MUCK016,RV,MUCK,MUCK
MUCK017,RV,MUCK,MUCK
MUCK021,RV,MUCK,MUCK
MUCK024,RV,MUCK,MUCK
MUCK025,RV,MUCK,MUCK
MUKA001,RV,MUCK,MUKA
MUKA002,RV,MUCK,MUKA
MUKA003,RV,MUCK,MUKA
MUKA004,RV,MUCK,MUKA
MUKA005,RV,MUCK,MUKA
MUKA006,RV,MUCK,MUKA
MUKA007,RV,MUCK,MUKA
MUKA008,RV,MUCK,MUKA
MUKA009,RV,MUCK,MUKA
MUKA010,RV,MUCK,MUKA
MUTH001,RV,MUCK,MUTH
